KSA,DNQ
RUS,A2
URG,A1
EGY,DNQ
IRN,DNQ
POR,B2
ESP,B1
MAR,DNQ
PER,DNQ
DEN,C2
FRA,C1
AUS,DNQ
ARG,D2
NGA,DNQ
ISL,DNQ
CRO,D1
SRB,DNQ
CRC,DNQ
BRA,E1
SUI,E2
MEX,F2
GER,DNQ
KOR,DNQ
SWE,F1
PAN,DNQ
TUN,DNQ
ENG,G2
BEL,G1
JPN,H2
POL,DNQ
SEN,DNQ
COL,H1
